idCliente,categoriasDeLosNegocios,idNegocio,rankingNegocio
-NgiA0lMgTGShSe8TnDX,ALIMENTACION,-NjDiO3mH6-jASfgi21-,5
-NgiA0lMgTGShSe8TnDX,ALIMENTACION,-NjDfDhoOCwwInSFWcCf,5
-NgiA0lMgTGShSe8TnDX,PAPELERIA,-NjDi6iP0qQYkP6p0CcA,5
-NgiA0lMgTGShSe8TnDX,ALIMENTACION,-NjDgRPVJe0hT-Kw3e49,5
-NgiA0lMgTGShSe8TnDX,ALIMENTACION,-NjDepFcfLtZsBlKQXlI,5
-NgiA0lMgTGShSe8TnDX,ALIMENTACION,-NjDfDhoOCwwInSFWcCf,5
-NgiA0lMgTGShSe8TnDX,PAPELERIA,-NjDi6iP0qQYkP6p0CcA,5
-NgiA0lMgTGShSe8TnDX,ALIMENTACION,-NjDepFcfLtZsBlKQXlI,4
-NkQr5zFf8okFuDhOr-M,ALIMENTACION,-NjDdIccIQ-_EGfpgZnL,4
-NkQr5zFf8okFuDhOr-M,PAPELERIA,-NjDi6iP0qQYkP6p0CcA,5
-NkQr5zFf8okFuDhOr-M,PAPELERIA,-NjEJlPowydRGqZ7ooey,5
